0,名詞 （身の回りの身近なもの）
24,それらは%2C彼(女)らは,they
25,彼(女)らの,their
26,彼(女)らを(に),them
27,彼(女)らのもの,theirs
28,私自身を,myself
29,あなた自身,yourself
30,彼自身,himself
31,彼女自身,herself
32,それ自身,itself
33,私たち自身を,ourselves
34,彼(女)ら自身,themselves
35,これは,this
36,あれは,that
37,これらは,these
38,あれらは,those
39,みんな,everyone
40,だれか,someone
41,だれも〜ない,nobody
42,何も(だれも)〜ない,none
43,すべてのもの,everything
44,だれでもみな,everybody
45,何も〜ない,nothing
46,両方,both
47,みんな,all
48,ほとんど,most
49,だれ,who
50,何,what
51,どちら,which
52,だれの(もの),whose
53,何か,something
